KEY,english,koreana,japanese,tchinese,schinese
Tooltip_BufferTimeRange,Delay must be between 1-5000 ms,지연 1-5000 MS 사이 여야합니다,遅延は1〜5000ミリ秒の間でなければなりません,延遲時間必須在1-5000毫秒之間,延迟时间必须在1-5000毫秒之间
Tooltip_BufferTimeLow,Low latency devices may be better utilized with Immediate mode,낮은 대기 시간이 장치는 더 나은 즉시 모드로 사용될 수있다,低遅延デバイスは、より良い即時モードで利用することができます,低延遲設備可以更好地用於立即模式,低延迟设备可以更好地用于立即模式
Title_PlayerMenu,Subject,주체,対象者,主體,对象
Field_PlayerCropActive,Crop feed to Subject,주체 중심으로 피드 크롭하기,対象者へのクロップのフィード,僅擷取主體,裁切对象四周视频推送
Header_CropPadding,Crop Padding (m),크롭 패딩(m),クロップパディング (m),擷取邊緣空間保留,裁切填充(m)
Field_CropPaddingHead,Head,머리,ヘッド,頭部,头部
Field_CropPaddingHands,Hands,손,ハンド,手,手部
Field_CropPaddingBase,Feet,발,フィート,腳,脚部
Field_IsolationMode,Isolation Mode,격리 모드,分離モード,隔離模式,隔离模式
Field_Chromakey,Chromakeying,Chromakeying,クロマキー,色度鍵控,色度键控
Field_ChromaSpill,Spill Feathering,유출 페더,流出フェザリング,溢出羽毛,溢出羽毛
Tooltip_StaticButTracked,"Static Subtraction mode requires a stationary background, you may want to disable tracking","정적 빼기 모드는 고정 된 배경이 필요합니다, 당신은 추적을 비활성화 할 수 있습니다",静的減算モードが静止している背景を必要とし、あなたが追跡を無効にしたい場合があります,靜態減法模式需要穩定的背景，您可能需要禁用跟踪,静态减法模式需要稳定的背景，您可能需要禁用跟踪
Field_StaticCalibration,Background Calibration,배경 교정,背景キャリブレーション,背景校準,背景校准
Field_StaticCalibDuration,Duration (s),기간 (들),所要時間（秒）,持續時間（秒）,持续时间（秒）
Field_RunStaticCalibration,Capture BG,BG 캡처,BGをキャプチャ,捕獲背景,捕获背景
Title_PlacementSettings,Camera Placement,카메라 배치,カメラ配置,相機放置,相机放置
Field_TrackedByController,Tracked By,추적,によって追跡,跟踪,跟踪
Field_FixedPosition,Position,위치,ポジション,位置,位置
Field_FixedRotation,Rotation,회전,回転,迴轉,回转
Field_TrackedPosition,Position Offset,위치 오프셋,位置オフセット,位置偏移,位置偏移
Field_TrackedRotation,Rotation Offset,회전 오프셋,回転オフセット,旋轉偏移,旋转偏移
Field_FindClosestDevice,Take Closest,가장 가까운 받아,最も近い乗り,最近,最近
TrackingDevice_Hmd,Headset,헤드셋,ヘッドセット,頭戴式顯示器,头盔
TrackingDevice_Ctrl,Controller,컨트롤러,コントローラー,控制器,控制器
TrackingDevice_Tracker,Tracker,트래커,トラッカー,感應器,跟踪器
TrackingDevice_Base,Base,베이스,ベース,基地台,基座
Suff_LeftController,(L),(L),（L）,左控制器,左控制器
Suff_RightController,(R),(아르 자형),（R）,右控制器,右控制器
Field_PositionSmoothing,Position Smoothing,위치 스무딩,ポジションスムージング,位置平滑,位置平滑
Field_RotationSmoothing,Rotation Smoothing,회전 스무딩,回転スムージング,旋轉平滑,旋转平滑
Title_FoVCalibration,FoV Calibration,FOV 교정,FoVのキャリブレーション,視場校準,视场校准
FC_Instr_1,1) Print out marker pattern,1) 마커의 패턴을 인쇄,1）マーカーパターンを印刷,＃1打印出圖案標記,＃1打印出图案标记
FC_Instr_2,"2) Run calibration app, capturing 10 images of the pattern in different orientations with the SPACE key",스페이스 키가 서로 다른 방향으로 패턴의 이미지를 캡처 10 2)를 실행 보정 앱,SPACEキーで異なる方向におけるパターンの10枚の画像を取り込む2）を実行するキャリブレーションアプリ,＃2運行校準應用程序，使用空格鍵捕獲不同方向的10張圖像圖像,＃2运行校准应用程序，使用空格键捕获不同方向的10张图像图像
FC_Instr_3,3) Your field of view value should now be filled in!,3)보기 값 귀하의 필드는 이제 기입해야한다!,3）表示値のあなたの分野は、今で満たされる必要があります！,＃3現在應該填寫你的視野值！,＃3现在应该填写你的视野值！
FC_Pattern_Btn,Open PDF,PDF 열기,オープンPDF,打開PDF,打开PDF
FC_App_Btn,Run App,실행 앱,ランのApp,運行應用程序,运行应用程序
Title_LightingMenu,Lighting,조명,ライト,燈光,照明
Field_PlayerLightingFactor,Take Lighting,주변 조명,ライト調整,燈光接收量,接受照明
Field_PlayerLightingBase,Base Amount,기본 조명량,基準量,燈光基本量,基础量
Field_PlayerLightingPower,Light Power,조명 강도,ライトパワー,燈光強度,照明功率
Title_SceneDisplay,In-Scene Display,인 - 장면 표시,では、シーンの表示,現場顯示,现场显示
Field_DisplayScale,Image Scale,이미지 크기,画像スケール,圖像尺度,图像尺度
Field_DisplayAlpha,Image Transparency,이미지 투명도,画像の透明性,圖像透明度,图像透明度
Title_Recording,Recording,녹음,録音,記錄,记录
Field_StartTimelapseAuto,Start capturing Timelapse on MixCast VR start,MixCast VR 시작에 저속 캡처 시작,MixCast VR開始にタイムラプスのキャプチャを開始,開始捕獲MixCast上的Timelapse,开始捕获MixCast上的Timelapse
Field_TimelapseInterval,Timelapse Snapshot Interval (s),저속 스냅 샷 간격 (들),タイムラプススナップショット間隔（秒）,時間間隔快照間隔（秒）,时间间隔快照间隔（秒）
Tooltip_TimelapseIntervalLow,Disk space will fill quickly with frequent snapshots,디스크 공간이 자주 스냅 샷을 빠르게 채울 것,ディスク容量は、頻繁にスナップショットをすぐにいっぱいになります,磁盤空間將快速填滿快照,磁盘空间将快速填满快照
Action_OpenRecordingFolder,Open Recordings,열기 녹음,オープン録音,打開錄音,打开录音
Title_About,About,약,約,關於,关于
Action_GoToMixCastWebsite,"For more information about MixCast VR and Blueprint Reality, check out our website",MixCast VR 및 청사진 현실에 대한 자세한 내용은 저희 웹 사이트를 체크 아웃,MixCast VRと青写真リアリティの詳細については、当社のウェブサイトをチェックしてください,有關MixCast和Blueprint Reality的更多信息，請訪問我們的網站,有关MixCast和Blueprint Reality的更多信息，请访问我们的网站
Action_OpenFeedbackPage,Send Feedback,의견 보내기,フィードバックを送信,發送反饋,发送反馈
Action_OpenSupportPage,Report Issue,보고서 문제,レポートの問題,報告問題,报告问题
Action_OpenConfigFolder,Get externalcamera.cfg,가져 오기 externalcamera.cfg,取得externalcamera.cfg,獲取externalcamera.cfg,获取externalcamera.cfg
Info_Artoolkit_License,This application uses ARToolkit for some functionality under the LGPLv3,이 응용 프로그램은 LGPLv3에서 일부 기능을 ARToolkit을 사용,このアプリケーションは、LGPLv3の下にいくつかの機能のためにARToolkitを使用しています,該應用程序使用ARToolkit來實現LGPLv3下的一些功能,该应用程序使用ARToolkit来实现LGPLv3下的一些功能
Info_FFmpeg_License,This software uses libraries from the FFmpeg project under the LGPLv2.1,이 소프트웨어는 LGPLv2.1 아래는 FFmpeg 프로젝트에서 라이브러리를 사용,このソフトウェアは、LGPLv2.1の下にFFmpegプロジェクトからライブラリを使用しています,該軟件使用FFGPP項目中的LGPLv2.1下的庫,该软件使用FFGPP项目中的LGPLv2.1下的库
Value_DisplayingMixCast,Mixed Reality,혼합 현실,複合現実感,混合現實,混合现实
Value_DisplayingHeadset,First Person,첫번째 사람,最初の人,第一個人,第一个人
Action_OutputVideoFile,Record Video,비디오 녹화,レコードのビデオ,錄製視頻,录制视频
Action_StartVideoOutput,Start Recording,녹화 시작,録画開始,,
Action_StopVideoOutput,Stop Recording,기록 중지,録画を停止,,
Action_StartDisplaying,Present,선물,現在,,
Action_OutputTimelapse,Capture Timelapse,캡처 저속,キャプチャタイムラプス,捕捉時間流逝,捕捉时间流逝
Action_OutputScreenshot,Take Photo,사진을 찍다,写真を撮る,拍照,拍照
Action_ShareScreenshot,Share Photo,사진 공유,フォトをシェアする,分享照片,分享图片
Info_QuickStep1,"Hold your controller so the target on-screen is centered inside the controller ring and click the grip button",화면의 대상이 컨트롤러 반지 안쪽 중앙에 귀하의 컨트롤러를 누른 상태에서 그립 버튼을 클릭합니다,画面上のターゲットは、コントローラのリングの内側中央にあるように、あなたのコントローラを保持しながら、グリップ]ボタンをクリックします,按住控制器的同時按住手柄按鈕，使屏幕上的目標位於控制器環內,按住控制器的同时按住手柄按钮，使屏幕上的目标位于控制器环内
Info_QuickStep2,"For each target, click the Grip button while holding your controller so the target on screen is centered inside the controller ring","화면의 대상이 컨트롤러 반지 안쪽 중앙에 귀하의 컨트롤러를 누른 상태에서 각 대상의 경우, 그립 버튼을 클릭합니다",画面上のターゲットは、コントローラのリングの内側中央にあるように、あなたのコントローラを保持しながら、各ターゲットについて、グリップ]ボタンをクリックしてください,對於每個目標，按住控制器的同時按住Grip按鈕，使屏幕上的目標位於控制器環內,对于每个目标，按住控制器的同时按住Grip按钮，使屏幕上的目标位于控制器环内
Info_QuickStep1_Oculus,"Turn one controller around so the thumbstick is facing your camera. Place the flat top of the thumbstick as close to the center of the camera lens as possible and press the grip button",화면의 대상이 컨트롤러 반지 안쪽 중앙에 귀하의 컨트롤러를 누른 상태에서 그립 버튼을 클릭합니다,画面上のターゲットは、コントローラのリングの内側中央にあるように、あなたのコントローラを保持しながら、グリップ]ボタンをクリックします,按住控制器的同時按住手柄按鈕，使屏幕上的目標位於控制器環內,按住控制器的同时按住手柄按钮，使屏幕上的目标位于控制器环内
Info_QuickStep2_Oculus,"Continue holding the controller with the buttons facing your camera. Position the controller so the thumbstick is centered in each target on the screen below and press the grip button.","화면의 대상이 컨트롤러 반지 안쪽 중앙에 귀하의 컨트롤러를 누른 상태에서 각 대상의 경우, 그립 버튼을 클릭합니다",画面上のターゲットは、コントローラのリングの内側中央にあるように、あなたのコントローラを保持しながら、各ターゲットについて、グリップ]ボタンをクリックしてください,對於每個目標，按住控制器的同時按住Grip按鈕，使屏幕上的目標位於控制器環內,对于每个目标，按住控制器的同时按住Grip按钮，使屏幕上的目标位于控制器环内
Action_AddCamera,Add Camera,카메라 추가,カメラを追加,添加相机,添加相機
Action_RemoveCamera,Remove Camera,카메라를 제거,カメラを削除します,删除相机,刪除相機
Action_EnableMixCast,Enable MixCast VR,MixCast VR 사용,MixCast VRを有効にします,启用MixCast VR,啟用MixCast VR
Action_DisableMixCast,Disable MixCast VR,MixCast VR을 해제,MixCast VRを無効にします,禁用MixCast VR,禁用MixCast VR
Action_OpenCapture,Open MixCast VR Capture,열기 MixCast VR 캡처,オープンMixCast VRキャプチャ,打开MixCast VR捕捉,打開MixCast VR捕捉
Str_MRCamNameDefault,Mixed Camera {0},혼합 카메라 {0},混合カメラ{0},混合相机{0},混合相機{0}
Str_VRCamNameDefault,Virtual Camera {0},가상 카메라 {0},仮想カメラ{0},虚拟摄像头{0},虛擬攝像頭{0}
Str_HeadCamNameDefault,Head Camera,헤드 카메라,ヘッドカメラ,摄像头,攝像頭
Str_CameraDisplaying,Presenting,제시,プレゼン,呈现,呈現
Str_CameraRecording,Recording,녹음,録音,记录,記錄
Str_CameraStreaming,Streaming,스트리밍,ストリーミング,流,流
Isolation_Chroma,Chroma Key,크로마 키,クロマキー,色度键,色度鍵
Isolation_StaticSubtraction,Static Subtraction,정적 뺄셈,静的減算,静态减法,靜態減法
Isolation_None,None,없음,なし,没有,沒有
Mode_Immediate,Immediate,즉시,即座,即时,即時
Mode_Buffered,Buffered,버퍼,緩衝,缓冲的,緩衝的
Mode_Quadrant,Quadrant,사분면,クアドラント,象限,象限
Capture_NoData,No MixCast VR Studio data found! Open MixCast VR Studio and set up your Mixed Reality Camera before using MixCast Capture.,어떤 MixCast VR Studio 데이터를 찾을 수 없습니다! MixCast VR Studio를 열고 MixCast 캡처를 사용하기 전에 혼합 현실 카메라를 설정합니다.,MixCast VR Studioのデータが見つかりません！ MixCast VRメーカーを開き、MixCast Captureを使用する前に、複合現実感のカメラを設定します。,没有MixCast VR工作室内容！打开MixCast VR Studio和使用MixCast拍摄前设置您的混合现实相机。,沒有MixCast VR工作室內容！打開MixCast VR Studio和使用MixCast拍攝前設置您的混合現實相機。
Capture_NoTrackingDevice,Your MixCast VR Camera doesn't have its Tracking Device set to your 3rd Controller! Return to MixCast Studio to update your data.,귀하의 MixCast VR 카메라는 그 추적 장치는 3 컨트롤러에 설정하지 않습니다! 데이터를 업데이트 할 MixCast 스튜디오로 돌아갑니다.,あなたのMixCast VRカメラは、そのトラッキングデバイスは、あなたの第三コントローラに設定されていません！あなたのデータを更新するMixCast Studioに戻ります。,你MixCast VR相机不具备的跟踪装置设置为您3控制器！回到MixCast Studio来更新数据。,你MixCast VR相機不具備的跟踪裝置設置為您3控制器！回到MixCast Studio來更新數據。
Capture_ReturnToStudio,Return to MixCast VR Studio,MixCast VR 스튜디오로 돌아 가기,MixCast VR Studioに戻ります,回到MixCast VR工作室,回到MixCast VR工作室
Capture_Waiting,Waiting for VR application...,VR 응용 프로그램 기다리는 중 ...,VRアプリケーションを待っています...,等待VR应用...,等待VR應用...
Capture_Updating,Updating VR application data...,VR 응용 프로그램 데이터를 업데이트 중 ...,VRアプリケーションデータを更新中...,更新VR应用数据...,更新VR應用數據...
Capture_ConnectController,Connect your 3rd controller,3 번째 컨트롤러를 연결합니다,あなたの第三のコントローラを接続します,连接你的第三个控制器,連接你的第三個控制器
Capture_SwitchToFirstPerson,Switch to First Person,1인칭 전환,一人称視点へ変更,切換至第一人稱視角,切换到第一人称
Capture_SwitchToMixedReality,Switch to Mixed Reality,혼합현실 전환,MRへ変更,切換至混合實境,切换到混合现实
Capture_FoundMixCastApp,This VR application is already MixCast-enabled! Please close MixCast Capture and activate MixCast in {0}.,,,,
Capture_Resolution,Capture Resolution,캡처 해상도,キャプチャ解像度,拍摄分辨率,拍攝分辨率
Capture_Encoder,Capture Encoder,캡처 인코더,キャプチャエンコーダ,采集编码器,採集編碼器
Capture_Quality,Capture Quality,캡처 품질,キャプチャ品質,捕捉质量,捕捉質量
Stream_URL,Streaming URL,스트리밍 URL,ストリーミングURL,流媒体URL,流媒體URL
Stream_Service,Streaming Service,스트리밍 서비스,ストリーミングサービス,流媒体服务,流媒體服務
Splitscreen_Enable,Enable Splitscreen,분할 화면 사용,分割画面を有効にします,启用分屏,啟用分屏
Splitscreen_Disable,Disable Splitscreen,안 분할 화면,無効に分割画面,禁用分屏,禁用分屏
Isolation_Depth,Depth Camera,깊이 카메라,深度カメラ,深度相机,深度相機
Lighting_Enable,Enable Contextual Lighting,문맥 조명 사용,コンテキスト照明を有効にします,启用情景照明,啟用情景照明
Lighting_Disable,Disable Contextual Lighting,상황에 맞는 조명을 사용하지 않도록 설정,コンテキストライティングを無効にします,禁用情景照明,禁用情景照明
Asset_Import,Import Asset,가져 오기 자산,インポート・アセット,导入资产,導入資產
Warn_Minimized,Please ensure the game window is not minimized,,,,
Desktop_Window_Select,Desktop Window,,,,
Desktop_Window_Enable,Desktop Window Display,,,,
Field_FirstName,First Name,이름,名前,名字,名字
Field_LastName,Last Name,성,苗字,姓,姓
Field_Organization,Organization,소속 기관,組織,組織,组织
Title_Registration,Getting Started,등록,登録,註冊,注册
Field_Email,E-mail Address,이메일 주소,メールアドレス,電郵,E-mail地址
Field_Purpose,Purpose,용도,目的,使用目的,目的
Action_RegistrationProceed,Start,스타트,開始,開始,开始
